ACTION_CONTRACT   ACTION_CONTRACT_BI;
INTRSTIMAGES   INTRSTIMAGESTRIGGER1;INTRSTIMAGES_AFTER_INSERT;INTRSTIMAGES_AFTER_UPDATE;INTRSTIMAGES_BEFORE_INSERT;INTRSTIMAGES_BEFORE_UPDATE;INTERESTS_AFTERDELETE;
INTRSTSERVLNK   SERVICES_CHECK_DELETE;SERVICES_AFTER_UPDATE;INTRSTSERVLNKTRIGGER1;INTERESTS_AFTERDELETE;
INTRSTVENDORS   CHECK_241;CHECK_242;INTRSTVENDORSTRIGGER1;INTERESTS_AFTERDELETE;
ITEM_DESCRIPTION   ITEM_DESCRIPTION_BI;ITEM_DESCRIPTION_AD0;
KINDSTREET   KINDSTREET_BI;KINDSTREET_LNG_BI;
KINDSTREET_LNG   KINDSTREET_LNG_BI;
LANGUAGES   LANGUAGES_BI;LANGUAGES_LNG_BI;
LANGUAGES_LNG   LANGUAGES_LNG_BI;
LEAVINGCOST   LEAVINGCOST_BI;
LEAVINGDRIVERS   LEAVINGDRIVERS_BI;
LEAVINGS   DRIVE_CHECK_DELETE;LEAVINGS_CHECKDELETE;ROUTES_CHECK_DELETE;SHEDULES_CHECK_DELETE;LEAVINGSTRIGGER1;DRIVE_AFTER_UPDATE;LEAVINGS_AU0;
LNG_TRANSLATE_TEMPLATE   LNG_TRANSLATE_TEMPLATE_BI;
LNG_TRANSL_TEMP_DETAIL   LNG_TRANSL_TEMP_DETAIL_BI;
LOG   VISADOCSTATUSLOG_BI;FAXSLOGS_TRIGGER_ID;FAILLOG_BI;IMPORTHOTELLOG_BI;PERSVISAS_AFTER_DELETE;PERSVISAS_AFTER_INSERT;PROGRAMLOGTRIGGER1;LOG_BI;COMPANIES_BEFORE_DELETE;PERSVISAS_AFTER_UPDATE;COMPCONTRACTS_AFTER_DELETE;ROOMMOVELOG_BI;VISADOCMOVELOG_AI0;VISADOCMOVELOG_BI;VISAPERSDOCUMENTS_AI0;VISAPERSDOCUMENTS_AU0;VISAPERSDOCUMENTS_AD0;VISADOCTRANSFERLOG_BI;CONTRACTLOGTRIGGER1;COMPTAXSYSTEMLOG_BI;TAXSYSTEM_BD0;LOG_SUBCATEGORY_BI;
LOG_SUBCATEGORY   LOG_SUBCATEGORY_BI;
MANAGERRIGHTS   EMAILTHEMES_BEFORE_DELETE;
MERGESOAP1C   MERGESOAP1C_BI;
MERGESOAPWEB   MERGESOAPWEB_BI;
MESSAGES   MESSAGESTRIGGER1;BOARDMESSAGES_BI;
MISMATCH   DOCUMMISMATCH_BI;VISAPERSDOCUMENTS_AU1;NAMELISTS_CHECH_DELETE;MISMATCH_BI;
NAMELISTS   NAMELISTS_AD0;NAMELISTSTRIGGER1;NAMELIST_BEFORE_INSERT;ORDERS_BEFORE_UPDATE;
NATUROBJCTIMAGES   NATUROBJCTIMAGES_BU0;NATUROBJCTIMAGES_AU0;NATUROBJCTIMAGES_BI;NATUROBJCTIMAGES_BI0;NATUROBJCTIMAGES_AI0;
NATUROBJECTS   NATUROBJECTS_BI;OBJECTLINKS_AD0;
NATUROBJECTTYPE   NATUROBJECTTYPE_BI;
OBJECTLINKS   OBJECTLINKS_BI;OBJECTLINKS_AD0;OBJECTLINKS_COUNTRY_BI;
OBJECTLINKS_COUNTRY   OBJECTLINKS_COUNTRY_BI;
OCCUPATIONS   OCCUPATIONS_BI;OCCUPATIONS_LNG_BI;
OCCUPATIONS_LNG   OCCUPATIONS_LNG_BI;
OP_PARAM   OP_PARAM_TRIGGER1;
ORDERCNTRIES   ORDERCNTRIESTRIGGER1;PERSVISAS_BEFORE_UPDATE;VISADOCUMENTS_DELETE_TRIGGER;ORDERS_BEFORE_DELETE;CNTREMBASSIES_BD0;COUNTRIES_CHECK_DELETE;
ORDERNOTES   ORDERS_BEFORE_DELETE;ORDERNOTESTRIGGER1;ORDERNOTES_AFTER_UPDATE;
ORDERQUEUES   ORDERQUEUESTRIGGER1;CLIENTS_CHECK_DELETE;
ORDERS   REKLAMA_CHECK_DELETE;TOURGROUPS_CHECK_DELETE;ORDERSTRIGGER1;PERSEXCURS_AFTER_INSERT;PERSVISAS_AFTER_DELETE;PERSVISAS_AFTER_INSERT;TMUSERS_CHECK_DELETE;PERSVISAS_AFTER_UPDATE;CLIENTS_CHECK_DELETE;ORDERNOTES_AFTER_INSERT;ORDERNOTES_AFTER_UPDATE;TOURES_CHECK_DELETE;CATEGORY_ORDERS_BI;
ORGFORMS   ORGFORMS_BI;ORGFORMS_LNG_BI;
ORGFORMS_LNG   ORGFORMS_LNG_BI;
OTHERSERVICES   OTHERSERVICES_BI;OTHERSERVICES_LINK_BI;
OTHERSERVICES_LINK   OTHERSERVICES_LINK_BI;
PARTNERS   PARTNERS_BI;PARTNERS_AD0;
PAYCATEGORIES   PAYCATEGORIES_BI;
PBXACCOUNTS   PBXACCOUNTS_BI;
PERMIS_TABLE   PERMIS_TABLE_BI;PERMIS_TABLE_DETAIL_BI;
PERMIS_TABLE_DETAIL   PERMIS_TABLE_DETAIL_BI;
PERSATTENDANTS   PERSATTENDANTS_BI0;
PERSEXCURS   PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;PERSEXCURSTRIGGER1;CURRENCY_CHECK_DELETE;PERSEXCURS_AFTER_DELETE;ORDERS_BEFORE_DELETE;EXCURSION_CHECK_DELETE;EXCVENDORS_CHECK_DELETE;SERVCOSTS_AFTER_UPDATE;SERVCOSTS_AFTER_INSERT;
PERSINSURES   PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;PERSINSURESTRIGGER1;COMPANIES_CHECK_DELETE;BILLS_BI1;INSUREVALUES_CHECK_DELETE;SERVCOSTS_AFTER_UPDATE;SERVCOSTS_AFTER_INSERT;
PERSONACCNTS   PERSONACCNTS_CHECK_DELETE;PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;PERSONACCNTSTRIGGER1;CURRENCY_CHECK_DELETE;
PERSONDOCUMENTS   PERSONDOCUMENTS_BI;
PERSONS   COMPPHONES_BEFORE_DELETE;COMPPERSONSTRIGGER1;ORDERSTRIGGER1;COMPPERSONS_CHECK_DELETE;TOURIST_CHECKDELETE;COMPANIES_BEFORE_DELETE;PERSONSTRIGGER1;ORDERS_BEFORE_DELETE;VISADOCMOVELOG_AI0;PERSONS_AU0;
